NWIS_site_id,NHD_reachid,Location,RMSE,MaxError,MAPE,KGE,Drainage_area_mi2,Mean_Basin_Elev_ft,Perc_Forest,Perc_Imperv,Perc_Herbace,Mean_Ann_Precip_in,Ann_low_cfs,Ann_mean_cfs,Ann_hi_cfs
03234500,3486931,Scioto River at Higby OH,6384,13822,24.55952095254991,0.6352993106350764,0.000348,,22.2,3.0,,,2791.0,5570.0,10230.0
03231500,3486865,Scioto River at Chillicothe OH,5989,10401,20.372789905017356,0.623864716401771,0.000348,,0.0,2.11,,,2360.0,4285.0,8005.0
03237020,3488041,Scioto River at Piketon OH,6732,14442,15.436511616563589,0.5230830575786645,,,,,,,4152.0,7155.0,11920.0
03228750,5212897,Alum Creek near Kilbourne OH,361,875,71.84230342165152,0.44785711276369733,64.9,,22.4,1.13,,,41.8,79.0,122.9
03223425,5210827,Whetstone Creek at Mt Gilead OH,231,524,142.35055272582818,0.4063381842164455,37.8,,28.9,0.99,,,27.9,46.0,84.0
03230700,3483129,Scioto River at Circleville OH,10487,14479,41.406917391615664,0.36610525987919906,3220.0,,12.9,6.61,,,2267.0,3481.0,5338.0
03217500,5211691,Scioto River at La Rue OH,1105,2443,42.06235880331416,0.2989037653113443,258.0,,7.29,1.23,,,157.6,307.0,593.0
03219500,5215353,Scioto River near Prospect OH,2170,3389,43.84083731891669,0.19363860973288727,568.0,,7.21,2.14,,,193.3,567.0,1367.0
03230800,3483935,Deer Creek at Mount Sterling OH,1639,3653,51.42027131584309,-0.022434653561214324,0.13,,1.4,5.35,,,133.2,258.0,462.6
03225500,5214379,Olentangy River near Delaware OH,2230,3043,56.3220951769594,-0.3734290959306821,0.000309,,62.5,0.0,,,182.9,429.0,776.9
03220000,5214699,Mill Creek near Bellepoint OH,2263,3879,98.92256470092286,-0.44599706567274167,2.7,,4.89,1.88,,,87.0,191.0,430.5
03228805,5213149,Alum Creek at Africa OH,664,1327,736.335145003264,-0.5172938872614434,122.0,,24.5,1.76,,,27.9,114.0,236.2
03226800,5215055,Olentangy River near Worthington OH,2453,3112,164.1577506849846,-0.6490525134653584,3.86e-05,,0.0,1.0,,,280.9,568.0,1108.0
03234000,5233256,Paint Creek near Bourneville OH,3403,5067,126.14648459937159,-0.6887581113658121,,,,,,,326.1,961.0,1798.0
03228500,5213261,Big Walnut Creek at Central College OH,1663,2946,66.75763387218412,-0.7508259727118134,,,,,,,117.1,230.0,375.4
